split_id,sample_id,line_id,scenario_family,benchmark_core_candidate,governance_sensitive_flag,leakage_group_id,partition,group_key,is_primary_split,challenge_subset
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|4|0.1,4,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|4,validation,4,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|5|0.1,5,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|5,train,5,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|10|0.1,10,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|10,train,10,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|11|0.1,11,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|11,train,11,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|12|0.1,12,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|12,train,12,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|13|0.1,13,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|13,train,13,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|14|0.1,14,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|14,train,14,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|16|0.1,16,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|16,validation,16,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|17|0.1,17,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|17,test,17,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|22|0.1,22,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|22,train,22,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|23|0.1,23,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|23,train,23,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|25|0.1,25,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|25,train,25,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|26|0.1,26,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|26,train,26,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|27|0.1,27,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|27,train,27,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|28|0.1,28,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|28,train,28,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|29|0.1,29,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|29,train,29,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|30|0.1,30,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|30,train,30,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|31|0.1,31,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|31,train,31,True,benchmark_core
line_grouped_entity_primary_v1,line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|36|0.1,36,S21_NO_EXTGRID_GEN_ONLY_DCOPF,True,False,line|36,validation,36,True,benchmark_core
